WeaponData
{
	// General
	"printname"   									"#WPN_TITAN_XO16"
    "shortprintname"                              	"#WPN_TITAN_XO16_SHORT"
	"description" 									"#WPN_TITAN_XO16_DESC"
	"longdesc"										"#WPN_TITAN_XO16_LONGDESC"

	"menu_icon"										"r2_ui/menus/loadout_icons/titan_weapon/titan_weapon_xo16"
	"hud_icon"										"r2_ui/menus/loadout_icons/titan_weapon/titan_weapon_xo16"

	"weaponClass" 									"titan"
	"pickup_hold_prompt"  							"Hold [USE] [WEAPONNAME]"
	"pickup_press_prompt" 							"[USE] [WEAPONNAME]"
	"minimap_reveal_distance"						"32000"

	"OnWeaponActivate"								"OnWeaponActivate_titanweapon_xo16"
//	"OnWeaponPrimaryAttack"							"OnWeaponPrimaryAttack_titanweapon_xo16"
//	"OnWeaponNpcPrimaryAttack"						"OnWeaponNpcPrimaryAttack_titanweapon_xo16"
	"OnClientAnimEvent"								"GlobalClientEventHandler"

	"ammo_no_remove_from_stockpile"						"1"

	// Menu Stats
	"stat_damage" 									"65"
	"stat_range"  									"75"
	"stat_accuracy"   								"80"
	"stat_rof"										"75"

	"ads_move_speed_scale"							"0.40"

	// Models
	"viewmodel"   									"models/weapons/xotbr16/atpov_xotbr16.mdl"
	"playermodel" 									"models/weapons/xotbr16/w_xotbr16.mdl"

	"bolt_gravity_enabled"							"0"

	"damage_flags"									"DF_STOPS_TITAN_REGEN | DF_BULLET | DF_NO_SELF_DAMAGE | DF_KNOCK_BACK"


	// Effects
	//"tracer_effect"   							"weapon_tracers_40mm"
	//"projectilemodel" 							"models/weapons/bullets/projectile_arl.mdl"
	"projectilemodel" 								"models/dev/empty_model.mdl"
	//"projectile_trail_effect_0" 					"weapon_40mm_projectile"
	"tracer_effect"   								"weapon_tracers_xo16"
	"tracer_effect_first_person"  					"weapon_tracers_xo16"
	"impact_effect_table" 							"titan_bullet"
	"vortex_impact_effect"							"P_impact_xo_shield_cp"
	"vortex_absorb_effect"							"wpn_vortex_projectile_20mm_FP"
	"vortex_absorb_effect_third_person"				"wpn_vortex_projectile_20mm"
	"vortex_absorb_sound"							"Vortex_Shield_AbsorbBulletLarge"
	"vortex_absorb_sound_1p_vs_3p"					"Vortex_Shield_AbsorbBulletLarge_1P_VS_3P"
	"vortex_drain"									"0.0"
	"projectile_adjust_to_gun_barrel"				"1"

	"fx_shell_eject_view"							"wpn_shelleject_20mm_FP"
	"fx_shell_eject_world"							"wpn_shelleject_20mm"
	"fx_shell_eject_attach"							"shell"

	"fx_muzzle_flash_view"							"wpn_muzzleflash_xo_FP"
	"fx_muzzle_flash_world"							"wpn_muzzleflash_xo"
	"fx_muzzle_flash_attach"						"muzzle_flash"

	// Sound
	"looping_sounds"								"1"
	"fire_sound_1_player_1p"						"Weapon_XO16_Single_1P"
	"fire_sound_1_player_3p"						"Weapon_XO16_Single_3P"
	"fire_sound_2"									"Weapon_bulletCasings.Bounce"
	"sound_dryfire"									"titan_dryfire"

	"low_ammo_sound_name_1"							"XO16_LowAmmo_Shot1"

	"burst_or_looping_fire_sound_start_1p"			"Weapon_xo16_fire_first_1P"
	"burst_or_looping_fire_sound_middle_1p"			"Weapon_xo16_fire_loop_1P"
	"burst_or_looping_fire_sound_end_1p"			"Weapon_xo16_fire_last_1P"

	"burst_or_looping_fire_sound_start_3p"			"Weapon_xo16_fire_first_3P"
	"burst_or_looping_fire_sound_middle_3p"			"Weapon_xo16_fire_loop_3P"
	"burst_or_looping_fire_sound_end_3p"			"Weapon_xo16_fire_last_3P"

	"burst_or_looping_fire_sound_start_npc"			"Weapon_xo16_fire_first_3P"
